[16:09:58] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[16:09:58] [INIT] Loaded plugins:
[16:09:58] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[16:09:58] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[16:09:58] [INIT] - com.almostreliable.lootjs.kube.LootJSPlugin
[16:09:59] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[16:09:59] [INFO] Loaded script startup_scripts:example.js in 0.026 s
[16:09:59] [INFO] addonpack_omni_extras:kubejs_scripts/upchuck_swallow.js#1: Loaded Java class 'net.minecraft.world.entity.LivingEntity'
[16:09:59] [INFO] addonpack_omni_extras:kubejs_scripts/upchuck_swallow.js#2: Loaded Java class 'virtuoel.pehkui.api.ScaleTypes'
[16:09:59] [INFO] addonpack_omni_extras:kubejs_scripts/upchuck_swallow.js#3: Loaded Java class 'net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket'
[16:09:59] [INFO] Loaded script addonpack_omni_extras:kubejs_scripts/upchuck_swallow.js in 0.109 s
[16:09:59] [INFO] Loaded script addonpack_omni_extras:kubejs_scripts/startupstuff.js in 0.006 s
[16:09:59] [INFO] Loaded script addonpack_omni_extras:kubejs_scripts/sounds.js in 0.002 s
[16:09:59] [INFO] Loaded script addonpack_omni_extras:kubejs_scripts/has_effect.js in 0.001 s
[16:09:59] [INFO] Loaded script addonpack_omni_extras:kubejs_scripts/alien_codex.js in 0.009 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/sound2.js in 0.001 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/sound.js in 0.0 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/alien_codex.js in 0.001 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/ability6.js in 0.001 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/ability5.js in 0.003 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/ability4.js in 0.001 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/ability3.js in 0.002 s
[16:09:59] [INFO] addonpack_nosedeenian:kubejs_scripts/ability2.js#1: Loaded Java class 'net.minecraft.world.phys.Vec3'
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/ability2.js in 0.005 s
[16:09:59] [INFO] Loaded script addonpack_nosedeenian:kubejs_scripts/ability.js in 0.002 s
[16:09:59] [INFO] Loaded script addonpack_evo_reds_alienpack_completed:kubejs_scripts/completed_core_removal.js in 0.028 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack_ult:kubejs_scripts/ult_core_removal.js in 0.018 s
[16:10:00] [INFO] Loaded script addonpack_chrono_machina:kubejs_scripts/alien_codex.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack_reboottwo:kubejs_scripts/reboot_decouple.js in 0.026 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack_reboottwo:kubejs_scripts/reboottwo_core_removal.js in 0.019 s
[16:10:00] [INFO] Loaded script addonpack_afomni:kubejs_scripts/new_ice_block.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_afomni:kubejs_scripts/leap_vax.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_afomni:kubejs_scripts/is_mainhand.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_afomni:kubejs_scripts/freezing_effect.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_afomni:kubejs_scripts/chroma_leap.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_afomni:kubejs_scripts/aoe_damage.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/transformmodified.js in 0.015 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/sounds.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/ovcycle.js in 0.007 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/modules.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/galvan_completed_blueprint.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/decouplemodified.js in 0.018 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/core_removalmodified.js in 0.01 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/core_functions.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/codesmodified.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_aeo:kubejs_scripts/alien_codex.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_stretchakln:kubejs_scripts/sounds.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_stretchakln:kubejs_scripts/alien_codex.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_gax_classic:kubejs_scripts/throw.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_gax_classic:kubejs_scripts/rads.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_gax_classic:kubejs_scripts/force.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_gax_classic:kubejs_scripts/alien_codex.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/watch_check.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/ultimates.js in 0.004 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/swamp_spike.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/sounds.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/recal_decouple.js in 0.009 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/recal_core_removal.js in 0.007 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/random_transform.js in 0.003 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/randomize_aliens.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/items.js in 0.002 s
[16:10:00] [INFO] addonpack_evo_reds_alienpack:kubejs_scripts/grapple.js#1: Loaded Java class 'net.minecraft.world.level.ClipContext'
[16:10:00] [INFO] addonpack_evo_reds_alienpack:kubejs_scripts/grapple.js#2: Loaded Java class 'net.minecraft.world.level.ClipContext$Block'
[16:10:00] [INFO] addonpack_evo_reds_alienpack:kubejs_scripts/grapple.js#3: Loaded Java class 'net.minecraft.world.level.ClipContext$Fluid'
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/grapple.js in 0.007 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/force_field.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/food_items.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/effect_immunity.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/dome.js in 0.006 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/alien_codex.js in 0.005 s
[16:10:00] [INFO] Loaded script addonpack_evo_reds_alienpack:kubejs_scripts/ad_astra_freeze_immunity.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/items.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_up.js in 0.001 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run_down.js in 0.0 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_run.js in 0.007 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_small.js in 0.002 s
[16:10:00] [INFO] Loaded script addonpack_alienevo:kubejs_scripts/wall_climb_move_condition.js in 0.002 s
